Data;Hora;Chuva;Nivel;Temperatura Media;Umidade Media
06/04/2023;900;0.00;2.63;23.10;89.00
06/04/2023;1000;0.00;2.63;23.10;89.50
06/04/2023;1100;0.00;2.63;23.25;90.50
06/04/2023;1200;0.00;2.63;24.85;84.50
06/04/2023;1300;0.00;2.63;25.60;79.50
06/04/2023;1400;0.00;2.63;26.30;76.00
06/04/2023;1500;0.00;2.63;27.45;70.00
06/04/2023;1600;0.00;2.63;27.50;69.50
06/04/2023;1700;0.00;2.63;28.65;65.00
06/04/2023;1800;0.00;2.63;29.25;63.50
06/04/2023;1900;0.00;2.63;28.50;62.50
06/04/2023;2100;0.00;2.63;26.65;75.00
06/04/2023;2200;0.00;2.63;25.65;72.00
06/04/2023;2300;0.00;2.63;24.90;75.00
07/04/2023;2100;3.80;2.65;24.75;82.00
07/04/2023;2200;0.60;2.65;23.65;89.50
07/04/2023;0;0.00;2.65;24.65;75.50
07/04/2023;100;0.00;2.65;24.80;74.00
07/04/2023;200;0.00;2.65;24.55;75.00
07/04/2023;300;0.00;2.65;24.15;78.00
07/04/2023;400;0.00;2.65;23.75;81.00
07/04/2023;500;0.00;2.65;23.35;83.50
07/04/2023;600;0.00;2.65;23.00;87.00
07/04/2023;700;0.00;2.65;22.90;88.50
07/04/2023;800;0.00;2.65;22.85;88.50
07/04/2023;900;0.00;2.65;22.75;88.00
07/04/2023;1000;0.00;2.65;22.75;86.50
07/04/2023;1100;0.00;2.65;22.75;87.50
07/04/2023;1200;0.00;2.65;23.55;84.50
07/04/2023;1300;0.00;2.65;24.45;80.50
07/04/2023;1400;0.00;2.65;25.90;75.50
07/04/2023;1500;0.00;2.65;26.90;69.50
07/04/2023;1600;0.00;2.65;27.55;66.00
07/04/2023;1700;0.00;2.65;28.45;62.00
07/04/2023;1800;0.00;2.65;28.40;61.50
07/04/2023;1900;0.00;2.65;28.00;64.00
07/04/2023;2000;0.00;2.65;27.05;68.00
07/04/2023;2300;0.00;2.65;23.90;89.50
08/04/2023;1900;0.20;2.68;27.70;65.50
08/04/2023;0;0.00;2.68;23.95;89.00
08/04/2023;100;0.00;2.68;24.00;88.50
08/04/2023;200;0.00;2.68;23.90;88.50
08/04/2023;300;0.00;2.68;23.95;86.50
08/04/2023;400;0.00;2.68;23.75;87.50
08/04/2023;500;0.00;2.68;23.55;89.00
08/04/2023;600;0.00;2.68;23.45;87.00
08/04/2023;700;0.00;2.68;23.45;84.50
08/04/2023;800;0.00;2.68;23.15;85.00
08/04/2023;900;0.00;2.68;23.05;85.50
08/04/2023;1000;0.00;2.68;22.80;86.50
08/04/2023;1100;0.00;2.68;23.05;86.00
08/04/2023;1200;0.00;2.68;23.65;84.00
08/04/2023;1300;0.00;2.68;24.95;79.00
08/04/2023;1400;0.00;2.68;26.60;76.00
08/04/2023;1500;0.00;2.68;26.80;72.00
08/04/2023;1600;0.00;2.68;27.60;66.50
08/04/2023;1700;0.00;2.68;28.35;62.00
08/04/2023;1800;0.00;2.68;28.15;62.00
08/04/2023;2000;0.00;2.68;27.95;64.00
08/04/2023;2100;0.00;2.68;28.05;61.50
08/04/2023;2200;0.00;2.68;27.40;64.50
08/04/2023;2300;0.00;2.68;26.35;70.50
09/04/2023;0;0.00;2.70;25.65;74.00
09/04/2023;100;0.00;2.70;25.60;72.50
09/04/2023;200;0.00;2.70;26.20;67.00
09/04/2023;300;0.00;2.70;24.90;76.00
09/04/2023;400;0.00;2.70;23.70;87.00
09/04/2023;500;0.00;2.70;23.45;86.00
09/04/2023;600;0.00;2.70;23.30;84.00
09/04/2023;700;0.00;2.70;23.80;78.50
09/04/2023;800;0.00;2.70;23.50;81.50
09/04/2023;900;0.00;2.70;23.40;80.50
09/04/2023;1000;0.00;2.70;22.85;84.50
09/04/2023;1100;0.00;2.70;23.35;84.00
09/04/2023;1200;0.00;2.70;24.70;79.00
09/04/2023;1300;0.00;2.70;26.30;76.00
09/04/2023;1400;0.00;2.70;27.25;69.50
09/04/2023;1500;0.00;2.70;28.05;66.50
09/04/2023;1600;0.00;2.70;29.40;61.50
09/04/2023;1700;0.00;2.70;30.70;55.00
09/04/2023;1800;0.00;2.70;31.10;53.00
09/04/2023;1900;0.00;2.70;31.25;54.00
09/04/2023;2000;0.00;2.70;31.25;53.00
09/04/2023;2100;0.00;2.70;30.40;54.00
09/04/2023;2200;0.00;2.70;29.45;57.50
09/04/2023;2300;0.00;2.70;29.00;60.00
10/04/2023;2200;0.60;2.73;25.85;73.50
10/04/2023;2300;0.20;2.73;25.80;66.00
10/04/2023;0;0.00;2.73;27.80;68.50
10/04/2023;100;0.00;2.73;26.90;72.00
10/04/2023;200;0.00;2.73;26.20;73.50
10/04/2023;300;0.00;2.73;25.85;76.50
10/04/2023;400;0.00;2.73;25.75;80.50
10/04/2023;500;0.00;2.73;25.55;82.00
10/04/2023;600;0.00;2.73;25.70;80.00
10/04/2023;700;0.00;2.73;25.55;80.50
